time,activity,10a,10b,12a,12b,11a,11b,14a,14b,13a,13b,conductivity,temperature,depth,depth2
0.0,0.963324842,76.77054596,98.76683044,,,,,,,,,,,,
66.5,0.009109429,,,33.66184235,52.27640533,,,,,,,,,,
10027.533333333333,0.958918876,59.52403259,83.14117432,,,64.82868958,84.51368713,90.11646271,104.4201126,,,36.291555,8.1583625,249.6903569,249.6903569
10030.966666666667,0.9722262,57.95450592,79.05599976,,,65.30123901,83.15884399,,,,,36.27883,8.1622,249.6836829,249.6836829
10040.966666666667,0.961460958,56.8792038,78.17804718,,,62.9448967,82.79455566,,,,,36.35522,8.167759,249.6636611,249.6636611
10050.966666666667,0.971694869,63.32364273,82.4128952,,,64.16586304,81.21125031,,,,,36.33742,8.169119,249.654367,249.654367
10060.966666666667,0.961660665,59.39035034,83.16629028,,,68.97545624,85.4601593,,,,,,,,
10070.983333333334,0.976224258,61.64321899,83.5019989,92.55937195,92.88702393,73.76623535,83.82174683,,,,,,,,
10080.983333333334,0.983480907,64.17784882,83.07484436,,,76.02616119,83.50251007,,,,,36.34374,8.150882,249.6552074,249.6552074
10090.983333333334,0.966066601,64.19857788,84.9888916,89.40337372,94.79193878,77.22066498,85.37744141,,,,,36.33992,8.141958,249.6606454,249.6606454
10100.983333333334,0.988167556,63.19521332,86.42983246,91.78599548,93.44100189,77.72341156,83.64202881,,,,,36.3399,8.138977,249.6744877,249.6744877
10110.983333333334,0.968692232,64.41178894,86.34938049,93.17795563,94.53871155,76.92863464,84.21141815,,,,,36.33482,8.136248,249.6918894,249.6918894
10120.983333333334,0.96353174,60.61260605,86.00751495,,,77.23927307,84.14246368,,,,,36.33353,8.131859,249.7196233,249.7196233
10130.983333333334,0.967723774,62.01591492,88.06170654,,,77.27115631,84.74819946,,,,,36.33863,8.1403865,249.7530425,249.7530425
10140.983333333334,0.982565969,61.34488678,87.18251038,95.8504715,93.47914124,78.96660614,85.29893494,,,,,36.33737,8.141157,249.7751901,249.7751901
10150.983333333334,0.968946004,62.18703461,86.85778046,,,78.87895966,85.47927856,,,,,,,,
10161.0,0.97334245,62.72478485,84.63684845,,,81.45225525,86.31543732,,,,,,,,
10171.0,0.956099397,65.65480042,87.01626587,93.67712402,94.98687744,78.97994995,85.4072876,,,,,,,,
10181.0,0.968330083,66.48002625,85.34260559,,,77.65886688,85.7191925,,,,,,,,
10191.0,0.950082178,65.38798523,85.38226318,,,75.6621933,83.84346008,,,,,,,,
10201.0,0.971752119,65.11370087,86.93552399,,,75.7261734,82.87701416,,,,,36.332245,8.1279345,250.0668659,250.0668659
10211.0,0.952489971,66.54564667,88.37517548,,,70.27220917,86.80249023,,,,,36.33226,8.130988,250.1219383,250.1219383
10221.0,0.954752652,67.46046448,87.72109985,,,75.11994171,84.96773529,,,,,36.33481,8.1322585,250.1805205,250.1805205
10231.0,0.95055061,65.79216766,89.82141113,,,76.47364044,84.77773285,,,,,36.33863,8.1357345,250.2382624,250.2382624
10241.0,0.961315053,64.24521637,91.22020721,,,78.2651825,85.52020264,,,,,36.34246,8.141817,250.3010962,250.3010962
10251.016666666666,0.96903048,65.21399689,90.28259277,,,77.60413361,87.24255371,,,,,36.34502,8.142242,250.3697635,250.3697635
10261.016666666666,0.957372821,62.82998657,86.26128387,,,74.2175827,85.73348236,,,,,36.34755,8.141467,250.416036,250.416036
10271.016666666666,0.953594221,58.47953796,88.56965637,94.43898773,90.49534607,71.50131989,85.44065857,,,,,,,,
10281.016666666666,0.921746709,59.01377869,88.25559998,96.44223022,94.67127228,72.4814682,84.59037018,,,,,,,,
10291.016666666666,0.949718282,62.61035919,88.3008728,,,73.0550766,85.05628967,,,,,,,,
10301.016666666666,0.956722444,63.10813522,88.33247375,,,75.97246552,85.09712982,,,,,,,,
10311.016666666666,0.94270092,64.80400085,89.96107483,,,77.65079498,86.18688965,,,,,,,,
10321.016666666666,0.965391886,64.28733826,88.1232605,,,76.42153931,82.99149323,,,,,36.31443,8.132189,250.8066826,250.8066826
10331.016666666666,0.929811009,58.39360809,86.41840363,,,70.42053986,78.87339783,,,,,36.3208,8.130212,250.8548336,250.8548336
10341.033333333333,0.927647256,60.65630341,86.13903046,,,66.05496979,78.38046265,,,,,36.3259,8.1290275,250.9066429,250.9066429
10351.033333333333,0.919554407,60.82971191,84.55712891,,,67.07394409,79.31338501,,,,,36.3259,8.12918,250.9584027,250.9584027
10361.033333333333,0.954680924,59.88105011,89.4466629,,,68.88372803,79.85558319,,,,,36.31953,8.1270295,251.0025988,251.0025988
10371.033333333333,0.952600152,61.28259659,88.69628143,,,76.46372223,86.59390259,,,,,36.315715,8.127478,251.0375997,251.0375997
10381.033333333333,0.912802448,59.87340546,87.47711945,93.11264801,94.69500732,75.5848465,84.12988281,,,,,36.31573,8.1282055,251.0635043,251.0635043
10391.033333333333,0.894333567,61.97241211,91.25608826,,,76.55005646,86.57487488,,,,,,,,
10401.033333333333,0.927132046,61.50549316,91.20556641,,,73.70145416,89.73538208,,,,,,,,
10411.033333333333,0.961840099,63.52741623,90.67063141,,,69.1450882,83.53878021,,,,,,,,
10421.033333333333,0.918216422,60.17022705,78.88484955,,,76.27375031,86.10116577,,,,,,,,
10431.05,0.941881198,59.35832596,85.4150238,,,78.75780487,88.12641907,,,,,,,,
10441.05,0.951597304,62.75732422,90.51851654,92.7527771,95.28656006,71.89581299,88.20045471,91.25995636,105.8704529,,,36.38316,8.12257,251.1599546,251.1599546
10451.05,0.914966897,63.16757202,92.68221283,89.9422226,94.21759796,64.49988556,78.60503387,,,,,36.38316,8.122149,251.160004,251.160004
10461.05,0.964785469,70.74311829,95.90671539,94.86304474,95.95539856,67.65936279,82.47657013,,,,,36.38317,8.1201015,251.1520942,251.1520942
10471.05,0.968492537,63.5980835,92.09102631,97.05393219,96.74191284,68.11048889,83.13838196,,,,,36.383155,8.116953,251.1458652,251.1458652
10481.05,0.980350907,68.0194931,93.07766724,92.32473755,93.44541168,78.35460663,88.49868774,,,,,,,,
10491.05,0.957706234,64.8465271,92.4181366,82.38376617,94.7096405,83.91545868,93.56289673,,,,,,,,
10501.05,0.95417699,64.73600769,91.5874176,,,82.42056274,93.55976868,,,,,36.37806,8.102984,251.0527272,251.0527272
10511.05,0.927908723,63.71789551,90.78701782,87.2719574,93.28069305,78.62602997,91.71813965,,,,,36.375495,8.097862,251.0195555,251.0195555
10521.066666666668,0.959257721,67.19699097,91.71156311,93.8839035,91.95412445,83.59148407,92.88739014,,,,,36.37804,8.097578,250.977238,250.977238
10531.066666666668,0.978998163,65.01277924,89.59190369,86.21814728,92.7318573,80.1379776,89.81076813,,,,,36.37804,8.09481,250.9414955,250.9414955
10541.066666666668,0.949021987,67.18089294,90.04075623,,,76.1132431,86.68101501,,,,,,,,
10551.066666666668,0.962401924,65.86740875,89.2308197,,,79.17359924,89.01248169,,,,,,,,
10561.066666666668,0.972735692,68.12483215,91.20943451,,,77.04530334,89.72225189,,,,,36.37804,8.094433,250.7837935,250.7837935
10571.066666666668,0.972769787,67.38737488,90.88996887,,,80.39753723,88.91495514,,,,,36.37802,8.0926485,250.7294135,250.7294135
10581.066666666668,0.957643445,68.1648941,93.30476379,90.9149704,92.64465332,77.31771851,91.00566864,,,,,36.37549,8.0906515,250.6711774,250.6711774
10591.066666666668,0.948766146,68.23543549,89.08055115,,,73.15750122,86.34757996,,,,,36.37802,8.087433,250.6322215,250.6322215
10601.066666666668,0.935174884,65.83680725,90.77302551,97.3943634,93.12722778,73.34747314,87.26476288,,,,,,,,
10611.083333333334,0.931823021,62.68809509,92.984375,95.30147552,92.30793762,74.05078125,90.32415771,,,,,,,,
10621.083333333334,0.936314148,64.23402405,92.06674194,98.02300262,93.07148743,75.7625885,91.30455017,,,,,36.37802,8.077608,250.4264671,250.4264671
10631.083333333334,0.951075297,66.25950623,92.29216003,,,77.82628632,90.62309265,,,,,36.37802,8.077988,250.3666984,250.3666984
10641.083333333334,0.938244019,64.67093658,91.8215332,,,81.53635406,94.67877197,,,,,36.37421,8.078075,250.3079184,250.3079184
10651.083333333334,0.933968264,64.98651886,92.08686066,,,81.41712189,86.22576904,,,,,36.374215,8.078125,250.2655019,250.2655019
10661.083333333334,0.943881401,66.10260773,91.1142807,,,77.9305191,86.90292358,,,,,,,,
10671.083333333334,0.907259375,70.29082489,91.5391922,92.20594025,97.09687805,78.27393341,87.2093811,,,,,,,,
10681.083333333334,0.924656472,68.63964844,90.45457458,,,71.26113129,84.11779785,,,,,36.37675,8.0804995,250.0560888,250.0560888
10691.1,0.918708524,63.4713974,86.79690552,,,72.09557343,80.40576172,,,,,36.38058,8.0865,249.9950346,249.9950346
10701.1,0.882429637,56.89241791,87.44851685,,,72.51993561,81.68541718,,,,,36.378675,8.084258,249.9430274,249.9430274
10711.1,0.862557586,61.74332809,87.63237,,,75.33733368,83.8770752,,,,,36.3793,8.085951,249.9137115,249.9137115
10721.1,0.92065077,59.71474838,86.89401245,,,81.58000946,85.29316711,,,,,,,,
10731.1,0.906154469,62.37096024,88.56800842,,,83.8217392,86.06858826,,,,,,,,
10741.1,0.907700345,64.71451569,89.08143616,82.1476059,92.78852844,83.8625946,86.90115356,,,,,36.37802,8.0774915,249.7513617,249.7513617
10751.1,0.898054291,66.42378998,90.90808105,,,75.96981812,84.14308929,,,,,36.37803,8.078617,249.7248636,249.7248636
10761.1,0.863187588,69.42040253,93.24998474,88.66791534,91.03842926,78.80558014,87.30302429,,,,,36.37803,8.081225,249.686748,249.686748
10771.1,0.883290157,64.75882721,87.6418457,,,80.55954742,87.38568115,91.29781342,107.2297745,64.88039398,88.21914673,36.37422,8.082281,249.6641554,249.6641554
10781.116666666667,0.833157363,61.0954628,89.24727631,,,74.6227417,82.92127991,92.40864563,109.2279434,,,,,,
10791.116666666667,0.881624941,63.55593109,88.70866394,,,75.13146973,82.85374451,93.53800201,108.7998734,68.08974457,89.66634369,,,,
10801.116666666667,0.918549343,63.80308533,87.24215698,,,78.84416962,88.17902374,,,,,36.36784,8.074631,249.6002833,249.6002833
10811.116666666667,0.80523396,66.20180511,87.88215637,,,77.7953949,85.94078827,,,,,36.37165,8.0739535,249.59618,249.59618
10821.116666666667,0.803934543,64.5723114,88.73464203,,,75.46895599,85.51493835,,,,,36.37165,8.0708375,249.584513,249.584513
10831.116666666667,0.887778788,64.74620819,87.4556427,,,74.73472595,84.71733093,,,,,36.367835,8.0660575,249.5827827,249.5827827
10841.116666666667,0.924428912,66.40062714,87.67221832,,,74.52043152,85.20072937,,,,,,,,
10851.116666666667,0.949119482,63.54542542,89.04104614,,,74.47632599,85.71739197,,,,,,,,
10861.116666666667,0.870754166,70.31230164,90.43138885,96.67022705,95.49520874,72.20597076,83.15115356,,,,,36.36144,8.049957,249.6185748,249.6185748
10871.133333333333,0.840866822,62.96766663,88.62610626,,,68.1631012,83.09168243,92.62775421,104.4893951,,,36.35633,8.0396945,249.6391899,249.6391899
10881.133333333333,0.530574489,59.47274017,80.96308899,84.8128891,95.78092194,63.61483765,79.78578949,82.60825348,104.9109344,67.24729156,87.05995941,36.3576,8.0365555,249.6625735,249.6625735
10891.133333333333,0.569152654,62.11650085,85.72730255,84.19589996,92.46650696,62.44674683,77.64918518,86.09682465,107.2173309,,,36.35633,8.033968,249.6786898,249.6786898
10901.133333333333,0.6340303,61.42560196,85.88194275,79.9879837,94.30124664,66.86219025,79.54928589,89.41348267,107.7508926,66.15538788,83.88476563,,,,
10911.133333333333,0.003997719,63.78491211,88.467453,75.55913544,86.35334778,68.10150909,76.74806976,94.49993896,105.8604889,73.77541351,89.02110291,,,,
10921.133333333333,0,64.29224396,89.0375824,72.50622559,83.72501373,69.39984894,76.12350464,91.94545746,103.3566437,72.61992645,88.12689972,36.35376,8.02589,249.8034679,249.8034679
10931.133333333333,0.006540425,60.18784332,77.93199158,70.13291168,75.20846558,62.88333893,71.42404175,82.66608429,96.94107819,66.66036987,81.98201752,36.3525,8.0222585,249.8443519,249.8443519
10941.133333333333,0.006260474,56.47964478,74.44606781,62.79448318,72.00679016,56.84072113,68.4347229,77.0039444,88.15032959,62.67993927,75.56212616,36.355035,8.017227,249.8883505,249.8883505
10951.15,0,52.06961441,70.82176208,58.31734467,69.45172119,53.96195602,63.92683029,70.46327972,81.65625,57.46611023,72.40419006,36.355035,8.015066,249.9237965,249.9237965
10961.133333333333,0,47.49462128,68.91126251,58.490345,68.87737274,49.80162811,60.746315,63.83084488,78.39117432,54.15802765,70.85847473,,,,
10971.15,0,46.951828,65.64836884,57.79853058,67.69996643,46.21396255,59.17698288,59.91418457,75.71833801,51.96688843,65.71414185,,,,
10981.15,0.005957287,44.09544373,63.77215576,56.15740967,67.50648499,46.17702484,57.90878296,54.72637939,74.32608032,49.27965164,65.0096283,36.35757,8.008223,250.1207518,250.1207518
10991.15,0.011870975,42.59272766,60.70157623,52.77635956,64.76848602,47.4302063,57.47206879,50.76560211,73.16459656,47.42229843,61.41484833,36.355025,8.0089035,250.1655413,250.1655413
11001.15,0.0014651,41.53564453,61.83495331,53.32012177,64.40371704,45.78126144,56.2241745,51.05638123,73.27439117,46.292099,61.41166687,36.353735,8.002832,250.2286223,250.2286223
11011.15,0.007716576,39.87471771,61.71626663,53.96832657,64.32197571,46.20213699,56.35209656,50.60550308,73.19467926,47.81401062,62.33865356,36.355015,7.9999905,250.2687647,250.2687647
11021.15,0.001829824,40.71731567,60.22191238,55.33296204,64.1466217,46.43258667,56.08376312,50.81139374,73.66487122,47.06124115,62.06081772,,,,
11031.15,0.00463765,43.34444427,61.42876434,54.35173416,62.95745087,46.62945557,56.32646942,51.0834198,73.19963837,46.62935257,61.44096756,,,,
11041.15,0.001962273,41.64680481,60.52230835,54.201931,63.42279053,46.76081085,57.5267334,50.04891205,73.04482269,45.73441315,61.49891281,36.35119,7.990395,250.4704655,250.4704655
11051.166666666666,0.002685118,41.66022491,62.0545578,54.20193863,64.00627899,46.79924393,57.94546127,50.8013382,73.47123718,45.85444641,61.17869568,36.34992,7.989698,250.517183,250.517183
11061.166666666666,0.005740831,41.18154907,62.72322464,55.2370224,64.89674377,46.3568573,57.00150299,49.98746872,73.51625824,46.16939926,61.45299149,36.34864,7.989583,250.5842188,250.5842188
